id,Is Action,Is Adventure,Is Animation,Is Comedy,Is Crime,Is Documentary,Is Drama,Is Family,Is Fantasy,Is Foreign,Is History,Is Horror,Is Music,Is Mystery,Is Romance,Is Science Fiction,Is TV Movie,Is Thriller,Is War,Is Western,adult,overview,release_date,release_month,release_quarter,release_year,runtime,tagline,title,Is Christmas Movie,keywords
20334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",1940-01-11,1.0,1.0,1940.0,99.0,"Quiet, Unassuming, Perfect",The Shop Around the Corner,1,"holiday,budapest,hungary,secret love,love,gift,salesman,unemployment,pen pal,gift shop,christmas present,"
29617,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,An assistant D.A. takes a shoplifter home with him for Christmas.,1940-01-19,1.0,1.0,1940.0,94.0,BARBARA and FRED in 1940's first great love affair ...!,Remember the Night,1,"indiana,court case,road trip,niagara falls,lawyer,family,christmas,shoplifter,"
989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"The Roth family leads a quiet life in a small village in the German Alps during the early 1930s. When the Nazis come to power, the family is divided and Martin Brietner, a family friend is caught up in the turmoil.",1940-06-14,6.0,2.0,1940.0,100.0,The Most Exciting Picture!,The Mortal Storm,0,"germany,austria,professor,german,nazis,national socialism,adolf hitler,national socialist party,anti semitism,nazi party,"
38461,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,"A pair of murders in Rio de Janeiro leads the local police to call the famed detective. Charlie is puzzled, at first, when it appears that one of the murderers is killed by the first victim's widow.",1941-09-05,9.0,3.0,1941.0,60.0,0,Charlie Chan in Rio,0,"charlie chan,"
16305,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"Sullivan is a successful, spoiled, and naive director of fluff films, with a heart-o-gold, who decides he wants to make a film about the troubles of the downtrodden poor. Much to the chagrin of his producers, he sets off in tramp's clothing with a single dime in his pocket to experience poverty first-hand, and gets a reality shock...",1941-11-30,11.0,4.0,1941.0,90.0,"The Creator of ""Lady Eve"" brings you his latest and most lilting laugh-fest!",Sullivan's Travels,0,"homeless person,film director,"
20640,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"Rival reporters Sam and Tess fall in love and get married, only to find their relationship strained when Sam comes to resent Tess' hectic lifestyle.",1942-01-19,1.0,1.0,1942.0,114.0,The picture of the year!,Woman of the Year,0,"journalist,baseball,adoption,kiss,romantic comedy,secretary,reporter,"
22741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,"It is prior to the commencement of World War II, and Japan's fiendish Black Dragon Society is hatching an evil plot with the Nazis. They instruct a brilliant scientist, Dr. Melcher, to travel to Japan on a secret mission. There he operates on six Japanese conspirators, transforming them to resemble six American leaders. The actual leaders are murdered and replaced with their likeness …",1942-03-06,3.0,1.0,1942.0,64.0,It's the picture that has the whole town shivering!,Black Dragons,0,"nazis,embassy,sabotage,"
3087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"A film of the life of the renowned musical composer, playwright, actor, dancer and singer George M. Cohan.",1942-06-06,6.0,2.0,1942.0,126.0,"Get ready to Laugh, to Sing, to Shout! ...For here comes Uncle Sam's Star Spangled Yankee Doodle Dandy!",Yankee Doodle Dandy,0,"dancer,song,comeback,biography,singer,vaudeville,actor,"
13485,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"Lovely Linda Mason has crooner Jim Hardy head over heels, but suave stepper Ted Hanover wants her for his new dance partner after femme fatale Lila Dixon gives him the brush. Jim's supper club, Holiday Inn, is the setting for the chase by Hanover and manager Danny Reed. The music's the thing.",1942-08-04,8.0,3.0,1942.0,100.0,0,Holiday Inn,1,"holiday,new years eve,musical,inn,"
43167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"Andy (Mickey Rooney) is about to head off to college but he's got a few things to take care of before leaving. For starters, he must try and sell his junk car for $20 to pay for a bill and he must convince his father (Lewis Stone) not to go with him to college. Worst of all is that Polly (Ann Rutherford) wants to make up but her best friend (Ester Williams) decides to give Andy a test.",1942-12-01,12.0,4.0,1942.0,92.0,IT'S A ROMANTIC BATTLE-ROYAL!,Andy Hardy's Double Life,0,"andy hardy,"
55238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,"The film pivots around the local doctor and his family. The doctor's wife (Ruth Gordon) wants to hold on to the pretence of gracious living and ignore the occupiers. The doctor, Martin Stensgard (Walter Huston), would also prefer to stay neutral, but is torn. His brother-in-law, the wealthy owner of the local fish cannery, collaborates with the Nazis. The doctor's daughter, Karen (Ann Sheridan), is involved with the resistance and with its leader Gunnar Brogge (Errol Flynn). The doctor's son, has just returned to town, having been sent down from the university, and is soon influenced by his Nazi-sympathizer uncle. Captain Koenig (Helmut Dantine), the young German commandant of the occupying garrison, whose fanatic determination to do everything by the book and spoutings about the invincibility of the Reich hides a growing fear of a local uprising.",1943-01-01,1.0,1.0,1943.0,119.0,Resistance fighters battle the Nazis in occupied Norway,Edge of Darkness,0,"nazis,revolt,"
43510,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,"Concentrating on the personal lives of those involved, a war correspondent takes us through the preparations, landing and initial campaign on Guadalcanal during WWII.",1943-01-01,1.0,1.0,1943.0,93.0,0,Guadalcanal Diary,0,"war correspondent,jungle warfare,guadalcanal,"
151731,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Documentary focusing on the contributions to the American war effort of African-American soldiers.,1944-04-10,4.0,2.0,1944.0,43.0,0,The Negro Soldier,0,"world war ii,war propaganda,"
64075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"Artist David Stuart is blinded by a jealous assistant / model. His fiance's father generously offers his eyes for a sight restoring operation. There's only one hitch: Stuart has to wait until after the man dies. Not surprisingly, when the benefactor dies a very premature death, suspicion falls on the artist.",1944-11-10,11.0,4.0,1944.0,64.0,Murdered!...but his eyes lived to condem his killer...,Dead Man's Eyes,0,"blindness and impaired vision,artist,b movie,radio series,"
909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"In the year before the 1904 St Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",1944-11-23,11.0,4.0,1944.0,113.0,M·G·M's glorious love story with music!,Meet Me in St. Louis,1,"musical,moving,boy next door,americana,togetherness,fiddle,chapter headings,straw hat,st. louis missouri,20th century,"
40235,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"Tom invites Toots to an elegant dinner. However, he's made the mistake of trying to put Jerry to work, as a serving boy, a corkscrew, and other tasks. Jerry puts up with a little of this, but mostly gets revenge on Tom, mostly involving the tip of Tom's tail, which ends up in a sandwich, inside a dessert, and in a candle-holder. Meanwhile, Toots isn't too happy about Tom getting fresh with her. There's a chase, of course, featuring Tom stabbing a turkey while Jerry, safely outside, makes sounds of pain. Tom ends up with his tail stuck up like a mast as Jerry paints ""S.S. Drip"" on his side and Toots launches him into the punchbowl with a bottle of champagne.",1945-01-01,1.0,1.0,1945.0,7.0,0,The Mouse Comes to Dinner,0,"tom and jerry,"
13669,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"Journalist Elizabeth Lane is one of the country's most famous food writers. In her columns, she describes herself as a hard working farm woman, taking care of her children and being an excellent cook. But this is all lies. In reality she is an unmarried New Yorker who can't even boil an egg. The recipes come from her good friend Felix. The owner of the magazine she works for has decided that a heroic sailor will spend his Christmas on *her* farm. Miss Lane knows that her career is over if the truth comes out, but what can she do?",1945-12-17,12.0,4.0,1945.0,102.0,It's the fun show that's the one show to see!,Christmas in Connecticut,1,"holiday,connecticut,christmas,"
27452,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,"In 1916, beautiful young mute Helen is a domestic worker for elderly, ailing Mrs. Warren. Mrs. Warren's two adult sons, Albert (a professor) and womanizing impudent Steven, also live in the Warren mansion. Mrs. Warren becomes concerned for Helen's safety when a rash of murders involving 'women with afflictions' hits the neighborhood. She implores her physician, Dr. Parry, to take Helen away for her own safety. When another murder occurs inside the Warren mansion, it becomes obvious that Helen is in danger.",1946-02-06,2.0,1.0,1946.0,83.0,0,The Spiral Staircase,0,"staircase,fall from staircase,gothic,spiral staircase,proto-slasher,"
88762,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"While reading his favorite comic book, Daffy accidentally knocks himself unconscious and dreams he's Duck Twacy, famous detective, trying to solve the case of the missing piggy banks. Taking a streetcar (conducted by Porky Pig, in a non-speaking cameo role) to the gangsters' hideout, he meets up with such grotesque criminals as Pickle Puss, Eighty-Eight Teeth and Neon Noodle.",1946-07-20,7.0,3.0,1946.0,8.0,0,The Great Piggy Bank Robbery,0,"parody,porky pig,daffy duck,"
28162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,"When a young airman miraculously survives bailing out of his aeroplane without a parachute, he falls in love with an American radio operator. But the officials in the other world realise their mistake, and despatch an angel to collect him.",1946-08-22,8.0,3.0,1946.0,104.0,Neither Heaven nor Earth could keep them apart!,A Matter of Life and Death,0,"angel,england,world war ii,court case,bicycle,heaven,reference to hitler,"
8429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,"Six vignettes follow the Allied invasion from July 1943 to winter 1944, from Sicily north to Venice.",1946-12-10,12.0,4.0,1946.0,125.0,0,Paisan,0,"rome,sicily,naples,florence,"
19049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"Jody convinces his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?",1946-12-18,12.0,4.0,1946.0,128.0,THRILLS! DRAMA! HEART-THROBS!,The Yearling,0,"runaway,run away,deer,"
